city,split,class_label,samples,share
austin,train,benign,180780,0.999558
austin,train,phantom_congestion,20,0.000111
austin,train,signal_spoofing,20,0.000111
austin,train,false_closure,20,0.000111
austin,train,position_spoofing,20,0.000111
austin,test,benign,108468,0.999558
austin,test,phantom_congestion,12,0.000111
austin,test,signal_spoofing,12,0.000111
austin,test,false_closure,12,0.000111
austin,test,position_spoofing,12,0.000111
houston,train,benign,180780,0.999558
houston,train,phantom_congestion,20,0.000111
houston,train,signal_spoofing,20,0.000111
houston,train,false_closure,20,0.000111
houston,train,position_spoofing,20,0.000111
houston,test,benign,108468,0.999558
houston,test,phantom_congestion,12,0.000111
houston,test,signal_spoofing,12,0.000111
houston,test,false_closure,12,0.000111
houston,test,position_spoofing,12,0.000111
dallas,train,benign,180780,0.999558
dallas,train,phantom_congestion,20,0.000111
dallas,train,signal_spoofing,20,0.000111
dallas,train,false_closure,20,0.000111
dallas,train,position_spoofing,20,0.000111
dallas,test,benign,108468,0.999558
dallas,test,phantom_congestion,12,0.000111
dallas,test,signal_spoofing,12,0.000111
dallas,test,false_closure,12,0.000111
dallas,test,position_spoofing,12,0.000111
