city,class,feature,coefficient,abs_coefficient
austin,benign,Congestion alert,-0.078554,0.078554
austin,benign,Closure alert,-0.021165,0.021165
austin,benign,Signal report,-0.029599,0.029599
austin,benign,Position claim,0.079382,0.079382
austin,benign,Sender is RSU,0.091068,0.091068
austin,benign,Density gap,0.106291,0.106291
austin,benign,Observed RSU density,0.030728,0.030728
austin,benign,Sender near segment,0.022057,0.022057
austin,benign,Closure flag,-0.021165,0.021165
austin,benign,Adjacent flow,0.03225,0.03225
austin,benign,Controller mismatch,0.049213,0.049213
austin,benign,Majority mismatch,-0.026469,0.026469
austin,benign,Adjacency violation,-0.063366,0.063366
austin,benign,RSU region change,0.032217,0.032217
austin,phantom_congestion,Congestion alert,0.123607,0.123607
austin,phantom_congestion,Closure alert,-0.01312,0.01312
austin,phantom_congestion,Signal report,-0.012555,0.012555
austin,phantom_congestion,Position claim,-0.070731,0.070731
austin,phantom_congestion,Sender is RSU,-0.015208,0.015208
austin,phantom_congestion,Density gap,-0.080043,0.080043
austin,phantom_congestion,Observed RSU density,-0.020787,0.020787
austin,phantom_congestion,Sender near segment,-0.044888,0.044888
austin,phantom_congestion,Closure flag,-0.01312,0.01312
austin,phantom_congestion,Adjacent flow,-0.003641,0.003641
austin,phantom_congestion,Controller mismatch,0.000799,0.000799
austin,phantom_congestion,Majority mismatch,-0.012359,0.012359
austin,phantom_congestion,Adjacency violation,-0.001065,0.001065
austin,phantom_congestion,RSU region change,0.012499,0.012499
austin,signal_spoofing,Congestion alert,-0.016525,0.016525
austin,signal_spoofing,Closure alert,-0.011664,0.011664
austin,signal_spoofing,Signal report,0.036193,0.036193
austin,signal_spoofing,Position claim,-0.009639,0.009639
austin,signal_spoofing,Sender is RSU,0.029655,0.029655
austin,signal_spoofing,Density gap,-0.009647,0.009647
austin,signal_spoofing,Observed RSU density,-0.003743,0.003743
austin,signal_spoofing,Sender near segment,-0.000479,0.000479
austin,signal_spoofing,Closure flag,-0.011664,0.011664
austin,signal_spoofing,Adjacent flow,0.002159,0.002159
austin,signal_spoofing,Controller mismatch,-0.063878,0.063878
austin,signal_spoofing,Majority mismatch,0.047369,0.047369
austin,signal_spoofing,Adjacency violation,-0.001444,0.001444
austin,signal_spoofing,RSU region change,-0.035784,0.035784
austin,false_closure,Congestion alert,-0.016745,0.016745
austin,false_closure,Closure alert,0.052697,0.052697
austin,false_closure,Signal report,0.008402,0.008402
austin,false_closure,Position claim,-0.010679,0.010679
austin,false_closure,Sender is RSU,-0.101512,0.101512
austin,false_closure,Density gap,-0.010255,0.010255
austin,false_closure,Observed RSU density,-0.003062,0.003062
austin,false_closure,Sender near segment,0.020741,0.020741
austin,false_closure,Closure flag,0.052697,0.052697
austin,false_closure,Adjacent flow,-0.033969,0.033969
austin,false_closure,Controller mismatch,0.009251,0.009251
austin,false_closure,Majority mismatch,-0.001063,0.001063
austin,false_closure,Adjacency violation,-0.000623,0.000623
austin,false_closure,RSU region change,-0.00832,0.00832
austin,position_spoofing,Congestion alert,-0.011783,0.011783
austin,position_spoofing,Closure alert,-0.006748,0.006748
austin,position_spoofing,Signal report,-0.002441,0.002441
austin,position_spoofing,Position claim,0.011666,0.011666
austin,position_spoofing,Sender is RSU,-0.004003,0.004003
austin,position_spoofing,Density gap,-0.006346,0.006346
austin,position_spoofing,Observed RSU density,-0.003136,0.003136
austin,position_spoofing,Sender near segment,0.002569,0.002569
austin,position_spoofing,Closure flag,-0.006748,0.006748
austin,position_spoofing,Adjacent flow,0.003202,0.003202
austin,position_spoofing,Controller mismatch,0.004615,0.004615
austin,position_spoofing,Majority mismatch,-0.007478,0.007478
austin,position_spoofing,Adjacency violation,0.066499,0.066499
austin,position_spoofing,RSU region change,-0.000611,0.000611
houston,benign,Congestion alert,-0.084722,0.084722
houston,benign,Closure alert,-0.020357,0.020357
houston,benign,Signal report,-0.030467,0.030467
houston,benign,Position claim,0.08387,0.08387
houston,benign,Sender is RSU,0.086612,0.086612
houston,benign,Density gap,0.10989,0.10989
houston,benign,Observed RSU density,0.01847,0.01847
houston,benign,Sender near segment,0.022935,0.022935
houston,benign,Closure flag,-0.020357,0.020357
houston,benign,Adjacent flow,0.030972,0.030972
houston,benign,Controller mismatch,0.05178,0.05178
houston,benign,Majority mismatch,-0.016856,0.016856
houston,benign,Adjacency violation,-0.061646,0.061646
houston,benign,RSU region change,0.039392,0.039392
houston,phantom_congestion,Congestion alert,0.12805,0.12805
houston,phantom_congestion,Closure alert,-0.013361,0.013361
houston,phantom_congestion,Signal report,-0.014888,0.014888
houston,phantom_congestion,Position claim,-0.072077,0.072077
