coverage_level,coverage_scale,city,seed,detector,macro_f1,observed_fraction
Reduced,0.5,austin,42,baseline,0.3331,0.000619
Reduced,0.5,austin,42,flat_feature_logistic,0.6,0.000619
Reduced,0.5,austin,42,weighted_logistic,0.6766,0.000619
Reduced,0.5,austin,42,gaussian_naive_bayes,0.8787,0.000619
Reduced,0.5,austin,42,knowledge_graph,0.4179,0.000619
Reduced,0.5,houston,43,baseline,0.3366,0.000139
Reduced,0.5,houston,43,flat_feature_logistic,0.7217,0.000139
Reduced,0.5,houston,43,weighted_logistic,0.6445,0.000139
Reduced,0.5,houston,43,gaussian_naive_bayes,0.8657,0.000139
Reduced,0.5,houston,43,knowledge_graph,0.3143,0.000139
Reduced,0.5,dallas,44,baseline,0.3331,0.00012
Reduced,0.5,dallas,44,flat_feature_logistic,0.7636,0.00012
Reduced,0.5,dallas,44,weighted_logistic,0.6484,0.00012
Reduced,0.5,dallas,44,gaussian_naive_bayes,0.8827,0.00012
Reduced,0.5,dallas,44,knowledge_graph,0.2372,0.00012
Sparse,0.25,austin,42,baseline,0.3349,0.000338
Sparse,0.25,austin,42,flat_feature_logistic,0.6,0.000338
Sparse,0.25,austin,42,weighted_logistic,0.678,0.000338
Sparse,0.25,austin,42,gaussian_naive_bayes,0.6923,0.000338
Sparse,0.25,austin,42,knowledge_graph,0.4162,0.000338
Sparse,0.25,houston,43,baseline,0.3383,8.4e-05
Sparse,0.25,houston,43,flat_feature_logistic,0.7052,8.4e-05
Sparse,0.25,houston,43,weighted_logistic,0.6147,8.4e-05
Sparse,0.25,houston,43,gaussian_naive_bayes,0.88,8.4e-05
Sparse,0.25,houston,43,knowledge_graph,0.3096,8.4e-05
Sparse,0.25,dallas,44,baseline,0.3366,8e-05
Sparse,0.25,dallas,44,flat_feature_logistic,0.7043,8e-05
Sparse,0.25,dallas,44,weighted_logistic,0.6298,8e-05
Sparse,0.25,dallas,44,gaussian_naive_bayes,0.8762,8e-05
Sparse,0.25,dallas,44,knowledge_graph,0.2318,8e-05
