threshold,seed,macro_recall,macro_f1,position_recall
1,42,0.9875,0.9935,0.9375
1,43,0.925,0.9537,0.625
1,44,0.9437,0.9672,0.7188
1,45,0.9875,0.9935,0.9375
1,46,0.9938,0.9968,0.9688
1,47,0.9688,0.983,0.8438
1,48,0.9625,0.9792,0.8125
2,42,0.9437,0.9672,0.7188
2,43,0.8938,0.9275,0.4688
2,44,0.9,0.9331,0.5
2,45,0.9313,0.9584,0.6562
2,46,0.9563,0.9754,0.7812
2,47,0.9563,0.9754,0.7812
2,48,0.8938,0.9275,0.4688
3,42,0.6875,0.7338,0.0
3,43,0.6062,0.6585,0.0
3,44,0.6562,0.7095,0.0
3,45,0.65,0.7054,0.0
3,46,0.7063,0.7463,0.0
3,47,0.65,0.7106,0.0
3,48,0.675,0.7246,0.0
