detector,true_label,pred_label,count
baseline,benign,benign,8185
baseline,benign,phantom_congestion,0
baseline,benign,signal_spoofing,0
baseline,benign,false_closure,0
baseline,benign,position_spoofing,23
baseline,phantom_congestion,benign,32
baseline,phantom_congestion,phantom_congestion,0
baseline,phantom_congestion,signal_spoofing,0
baseline,phantom_congestion,false_closure,0
baseline,phantom_congestion,position_spoofing,0
baseline,signal_spoofing,benign,32
baseline,signal_spoofing,phantom_congestion,0
baseline,signal_spoofing,signal_spoofing,0
baseline,signal_spoofing,false_closure,0
baseline,signal_spoofing,position_spoofing,0
baseline,false_closure,benign,21
baseline,false_closure,phantom_congestion,0
baseline,false_closure,signal_spoofing,0
baseline,false_closure,false_closure,11
baseline,false_closure,position_spoofing,0
baseline,position_spoofing,benign,9
baseline,position_spoofing,phantom_congestion,0
baseline,position_spoofing,signal_spoofing,0
baseline,position_spoofing,false_closure,0
baseline,position_spoofing,position_spoofing,23
flat_feature_logistic,benign,benign,8208
flat_feature_logistic,benign,phantom_congestion,0
flat_feature_logistic,benign,signal_spoofing,0
flat_feature_logistic,benign,false_closure,0
flat_feature_logistic,benign,position_spoofing,0
flat_feature_logistic,phantom_congestion,benign,0
flat_feature_logistic,phantom_congestion,phantom_congestion,32
flat_feature_logistic,phantom_congestion,signal_spoofing,0
flat_feature_logistic,phantom_congestion,false_closure,0
flat_feature_logistic,phantom_congestion,position_spoofing,0
flat_feature_logistic,signal_spoofing,benign,0
flat_feature_logistic,signal_spoofing,phantom_congestion,0
flat_feature_logistic,signal_spoofing,signal_spoofing,32
flat_feature_logistic,signal_spoofing,false_closure,0
flat_feature_logistic,signal_spoofing,position_spoofing,0
flat_feature_logistic,false_closure,benign,0
flat_feature_logistic,false_closure,phantom_congestion,0
flat_feature_logistic,false_closure,signal_spoofing,0
flat_feature_logistic,false_closure,false_closure,32
flat_feature_logistic,false_closure,position_spoofing,0
flat_feature_logistic,position_spoofing,benign,7
flat_feature_logistic,position_spoofing,phantom_congestion,0
flat_feature_logistic,position_spoofing,signal_spoofing,0
flat_feature_logistic,position_spoofing,false_closure,0
flat_feature_logistic,position_spoofing,position_spoofing,25
weighted_logistic,benign,benign,8208
weighted_logistic,benign,phantom_congestion,0
weighted_logistic,benign,signal_spoofing,0
weighted_logistic,benign,false_closure,0
weighted_logistic,benign,position_spoofing,0
weighted_logistic,phantom_congestion,benign,0
weighted_logistic,phantom_congestion,phantom_congestion,32
weighted_logistic,phantom_congestion,signal_spoofing,0
weighted_logistic,phantom_congestion,false_closure,0
weighted_logistic,phantom_congestion,position_spoofing,0
weighted_logistic,signal_spoofing,benign,0
weighted_logistic,signal_spoofing,phantom_congestion,0
weighted_logistic,signal_spoofing,signal_spoofing,32
weighted_logistic,signal_spoofing,false_closure,0
weighted_logistic,signal_spoofing,position_spoofing,0
weighted_logistic,false_closure,benign,0
weighted_logistic,false_closure,phantom_congestion,0
weighted_logistic,false_closure,signal_spoofing,0
weighted_logistic,false_closure,false_closure,32
weighted_logistic,false_closure,position_spoofing,0
weighted_logistic,position_spoofing,benign,7
weighted_logistic,position_spoofing,phantom_congestion,0
weighted_logistic,position_spoofing,signal_spoofing,0
weighted_logistic,position_spoofing,false_closure,0
weighted_logistic,position_spoofing,position_spoofing,25
gaussian_naive_bayes,benign,benign,8169
gaussian_naive_bayes,benign,phantom_congestion,0
gaussian_naive_bayes,benign,signal_spoofing,0
gaussian_naive_bayes,benign,false_closure,0
gaussian_naive_bayes,benign,position_spoofing,39
gaussian_naive_bayes,phantom_congestion,benign,0
gaussian_naive_bayes,phantom_congestion,phantom_congestion,32
gaussian_naive_bayes,phantom_congestion,signal_spoofing,0
gaussian_naive_bayes,phantom_congestion,false_closure,0
gaussian_naive_bayes,phantom_congestion,position_spoofing,0
gaussian_naive_bayes,signal_spoofing,benign,0
gaussian_naive_bayes,signal_spoofing,phantom_congestion,0
gaussian_naive_bayes,signal_spoofing,signal_spoofing,32
gaussian_naive_bayes,signal_spoofing,false_closure,0
gaussian_naive_bayes,signal_spoofing,position_spoofing,0
gaussian_naive_bayes,false_closure,benign,0
gaussian_naive_bayes,false_closure,phantom_congestion,0
gaussian_naive_bayes,false_closure,signal_spoofing,0
gaussian_naive_bayes,false_closure,false_closure,32
gaussian_naive_bayes,false_closure,position_spoofing,0
gaussian_naive_bayes,position_spoofing,benign,7
gaussian_naive_bayes,position_spoofing,phantom_congestion,0
gaussian_naive_bayes,position_spoofing,signal_spoofing,0
gaussian_naive_bayes,position_spoofing,false_closure,0
gaussian_naive_bayes,position_spoofing,position_spoofing,25
knowledge_graph,benign,benign,8208
knowledge_graph,benign,phantom_congestion,0
knowledge_graph,benign,signal_spoofing,0
knowledge_graph,benign,false_closure,0
knowledge_graph,benign,position_spoofing,0
knowledge_graph,phantom_congestion,benign,0
knowledge_graph,phantom_congestion,phantom_congestion,32
knowledge_graph,phantom_congestion,signal_spoofing,0
knowledge_graph,phantom_congestion,false_closure,0
knowledge_graph,phantom_congestion,position_spoofing,0
knowledge_graph,signal_spoofing,benign,0
knowledge_graph,signal_spoofing,phantom_congestion,0
knowledge_graph,signal_spoofing,signal_spoofing,32
knowledge_graph,signal_spoofing,false_closure,0
knowledge_graph,signal_spoofing,position_spoofing,0
knowledge_graph,false_closure,benign,0
knowledge_graph,false_closure,phantom_congestion,0
knowledge_graph,false_closure,signal_spoofing,0
knowledge_graph,false_closure,false_closure,32
knowledge_graph,false_closure,position_spoofing,0
knowledge_graph,position_spoofing,benign,9
knowledge_graph,position_spoofing,phantom_congestion,0
knowledge_graph,position_spoofing,signal_spoofing,0
knowledge_graph,position_spoofing,false_closure,0
knowledge_graph,position_spoofing,position_spoofing,23
