detector,attack_type,precision,recall,f1,average_latency
baseline,phantom_congestion,0.0,0.0,0.0,0.0
baseline,signal_spoofing,0.0,0.0,0.0,0.0
baseline,false_closure,1.0,0.3438,0.5116,1.8
baseline,position_spoofing,0.5,0.7188,0.5897,0.4286
flat_feature_logistic,phantom_congestion,1.0,1.0,1.0,0
flat_feature_logistic,signal_spoofing,1.0,1.0,1.0,0
flat_feature_logistic,false_closure,1.0,1.0,1.0,0
flat_feature_logistic,position_spoofing,1.0,0.7812,0.8772,0.4286
knowledge_graph,phantom_congestion,1.0,1.0,1.0,0
knowledge_graph,signal_spoofing,1.0,1.0,1.0,0
knowledge_graph,false_closure,1.0,1.0,1.0,0
knowledge_graph,position_spoofing,1.0,0.7188,0.8364,0.4286
